"asciiname","pop2019"
"Los Angeles",4057841
"San Diego",1453775
"San Jose",1033519
"San Francisco",897536
"Fresno",532703
"Sacramento",513330
"Long Beach",466203
"Oakland",426410
"Bakersfield",388092
"Anaheim",356308
"Riverside",335048
"Santa Ana",334811
"Stockton",314584
"Irvine",297019
"Chula Vista",273565
"Fremont",238281
"Modesto",218436
"San Bernardino",218306
"Fontana",217981
"Oxnard",211926
"Moreno Valley",211682
"Glendale",204008
"Huntington Beach",199470
"Santa Clarita",183922
"Rancho Cucamonga",181823
"Ontario",180583
"Elk Grove",179835
"Oceanside",176466
"Santa Rosa",176439
"Corona",176163
"Garden Grove",175428
"Hayward",162459
"Lancaster",159800
"Salinas",158850
"Sunnyvale",157727
"Palmdale",157125
"Escondido",153242
"Pomona",152788
"Torrance",145857
"Pasadena",143922
"Fullerton",142119
"Roseville",140930
"Orange",140723
"Visalia",135337
"Concord",130487
"Thousand Oaks",128810
"Santa Clara",126701
"Simi Valley",126213
"Victorville",123345
"Berkeley",123121
"Vallejo",122919
"Fairfield",121470
"Murrieta",118445
"Temecula",117416
"Carlsbad",116031
"El Monte",115039
"Clovis",114554
"Costa Mesa",113068
"Antioch",113025
"Downey",112379
"Richmond",111232
"Santa Maria",110589
"San Buenaventura Ventura",110354
"Inglewood",109529
"Jurupa Valley",109040
"West Covina",107808
"Daly City",107000
"San Mateo",106029
"Vista",105214
"Norwalk",105119
"El Cajon",104719
"Rialto",104682
"Vacaville",103955
"Burbank",103418
"San Marcos",103025
"Comn",96500
"Tracy",96039
"Hesperia",95755
"Chico",95476
"Mission Viejo",95352
"Chino",95015
"South Gate",94509
"Menifee",93625
"Livermore",92982
"Redding",92840
"Santa Barbara",92815
"Indio",92322
"Carson",92233
"Santa Monica",91857
"Pleasanton",91525
"Westminster",91070
"San Leandro",90618
"Citrus Heights",89382
"Hawthorne",88322
"Alhambra",86722
"Whittier",86694
"Lake Forest",86519
"Newport Beach",86457
"Hemet",86393
"Redwood City",84602
"Merced",84331
"Buena Park",83840
"Manteca",82134
"Mountain View",81500
"Lakewood",81126
"Napa",81019
"Chino Hills",80988
"Tustin",80884
"Perris",80771
"Folsom",80622
"Alameda",80535
"Union City",78550
"Milpitas",78305
"Upland",78022
"San Ramon",77256
"Bellflower",77187
"Rancho Cordova",76955
"Baldwin Park",75972
"Turlock",75319
"Pittsburg",75140
"Apple Valley",74272
"Redlands",72596
"Walnut Creek",70433
"Davis",70220
"Lake Elsinore",70010
"Lynwood",69999
"Yorba Linda",69870
"Palo Alto",68395
"Redondo Beach",68152
"Rocklin",68007
"Yuba City",67568
"Camarillo",67435
"South San Francisco",66629
"Madera",66028
"Brentwood",65827
"Dublin",65790
"Santa Cruz",65524
"San Clemente",65477
"Lodi",65466
"Eastvale",65162
"Tulare",64807
"Laguna Niguel",64722
"Encinitas",64238
"Pico Rivera",62990
"Montebello",62681
"National City",61897
"Cupertino",61600
"Woodland",61255
"Gilroy",61252
"Petaluma",61046
"La Habra",61043
"Monterey Park",60958
"La Mesa",60164
"Gardena",59880
"Arcadia",59879
"Porterville",58912
"San Rafael",58447
"Santee",58416
"Huntington Park",58252
"Novato",57558
"Diamond Bar",57462
"Hanford",55991
"Fountain Valley",55866
"Aliso Viejo",55741
"Highland",55602
"Colton",55432
"Cathedral City",55346
"Watsonville",54627
"West Sacramento",54406
"Paramount",54336
"Rosemead",54221
"Palm Desert",53890
"Yucaipa",53672
"Cerritos",53156
"Delano",53034
"Glendora",52268
"Placentia",52075
"Beaumont",50509
"Azusa",50267
"Poway",50254
"Ceres",50009
"San Jacinto",49321
"Palm Springs",49153
"La Mirada",49108
"Lincoln",49088
"San Luis Obispo",48529
"Rancho Santa Margarita",48516
"Cypress",48366
"Morgan Hill",48328
"Covina",48087
"Newark",47688
"Coachella",46345
"Danville",45780
"El Centro",45224
"Brea",44577
"Rohnert Park",43444
"Oakley",43442
"La Quinta",42861
"Bell Gardens",42647
"Lompoc",42635